gene_symbol,reference_gene_id
CABZ01002768.1,ENSDARG00000098901
CABZ01002809.1,ENSDARG00000105078
CABZ01003344.1,ENSDARG00000102600
CABZ01005857.1,ENSDARG00000115480
CABZ01007829.1,ENSDARG00000098767
CABZ01012382.2,ENSDARG00000115450
CABZ01020455.1,ENSDARG00000110856
CABZ01021433.1,ENSDARG00000105696
CABZ01024856.1,ENSDARG00000104013
CABZ01033178.1,ENSDARG00000104885
CABZ01033180.1,ENSDARG00000102665
CABZ01034082.1,ENSDARG00000099583
CABZ01034089.1,ENSDARG00000107106
CABZ01038376.1,ENSDARG00000105038
CABZ01041962.1,ENSDARG00000076082
CABZ01048402.1,ENSDARG00000102449
CABZ01048402.2,ENSDARG00000103875
CABZ01054394.1,ENSDARG00000090942
CABZ01057488.1,ENSDARG00000110427
CABZ01063298.1,ENSDARG00000102282
CABZ01064859.1,ENSDARG00000099331
CABZ01064859.2,ENSDARG00000101134
CABZ01066694.1,ENSDARG00000110178
CABZ01066719.1,ENSDARG00000099731
CABZ01066720.1,ENSDARG00000106565
CABZ01067581.1,ENSDARG00000116393
CABZ01069020.1,ENSDARG00000105806
CABZ01069022.1,ENSDARG00000105692
CABZ01075078.1,ENSDARG00000099736
CABZ01079241.1,ENSDARG00000098424
CABZ01080371.1,ENSDARG00000102550
CABZ01081730.1,ENSDARG00000098248
CABZ01081747.1,ENSDARG00000098362
CABZ01081748.1,ENSDARG00000102139
CABZ01081752.1,ENSDARG00000099245
CABZ01081752.2,ENSDARG00000102800
CABZ01081752.3,ENSDARG00000103244
CABZ01087224.1,ENSDARG00000111269
CABZ01090890.1,ENSDARG00000101369
CABZ01093502.2,ENSDARG00000105053
CABZ01112050.1,ENSDARG00000113012
camta1a,ENSDARG00000077428
camta1a,ENSDARG00000116922
camta1b,ENSDARG00000007824
camta2,ENSDARG00000092799
capn15,ENSDARG00000060600
carf,ENSDARG00000019950
carhsp1,ENSDARG00000053129
casz1,ENSDARG00000037030
cbfb,ENSDARG00000040917
CC2D1A,ENSDARG00000036281
cdc5l,ENSDARG00000043797
cdip1,ENSDARG00000076118
cdx1a,ENSDARG00000114554
cdx1b,ENSDARG00000116139
cdx4,ENSDARG00000036292
cebp1,ENSDARG00000101096
cebp1,ENSDARG00000111016
cebpa,ENSDARG00000036074
cebpb,ENSDARG00000042725
cebpd,ENSDARG00000087303
cebpg,ENSDARG00000036073
cebpz,ENSDARG00000045857
ches1,ENSDARG00000043553
cica,ENSDARG00000071150
cicb,ENSDARG00000055502
clocka,ENSDARG00000011703
clockb,ENSDARG00000003631
cnbpb,ENSDARG00000070922
cpeb1b,ENSDARG00000008454
CR318589.2,ENSDARG00000116023
CR352261.3,ENSDARG00000114369
CR354373.1,ENSDARG00000112133
CR354582.1,ENSDARG00000110598
CR354612.1,ENSDARG00000114307
CR356223.1,ENSDARG00000093865
CR381651.2,ENSDARG00000116191
CR388042.2,ENSDARG00000109339
CR388055.1,ENSDARG00000104979
CR388055.3,ENSDARG00000109672
CR388132.2,ENSDARG00000104041
CR388165.10,ENSDARG00000114521
CR391911.1,ENSDARG00000113070
CR391944.1,ENSDARG00000098142
CR394552.1,ENSDARG00000111979
CR407594.1,ENSDARG00000111831
CR450724.1,ENSDARG00000114543
CR450780.2,ENSDARG00000112928
CR450785.1,ENSDARG00000100793
CR450785.11,ENSDARG00000111875
CR450793.1,ENSDARG00000088927
CR626923.2,ENSDARG00000114400
CR762426.1,ENSDARG00000113843
CR769781.1,ENSDARG00000112933
CR788257.2,ENSDARG00000116278
CR846087.3,ENSDARG00000095605
CR847850.1,ENSDARG00000102411
CR847895.1,ENSDARG00000115593
CR847936.6,ENSDARG00000110922
CR925780.1,ENSDARG00000035116
creb1a,ENSDARG00000053586
creb1b,ENSDARG00000093420
creb3l1,ENSDARG00000015793
creb3l2,ENSDARG00000063563
creb3l3a,ENSDARG00000056226
creb3l3a,ENSDARG00000115318
creb3l3b,ENSDARG00000090903
creb3l3l,ENSDARG00000020926
creb3l3l,ENSDARG00000116217
creb5a,ENSDARG00000099002
creb5b,ENSDARG00000070536
crebl2,ENSDARG00000104049
crebzf,ENSDARG00000089787
crema,ENSDARG00000023217
cremb,ENSDARG00000102899
cremb,ENSDARG00000109505
cremb,ENSDARG00000116064
crx,ENSDARG00000011989
crx,ENSDARG00000113850
CSDC2,ENSDARG00000100167
csdc2a,ENSDARG00000041323
csdc2a,ENSDARG00000115932
csde1,ENSDARG00000074758
csrnp1a,ENSDARG00000031426
csrnp1b,ENSDARG00000038429
csrnp2,ENSDARG00000075972
CSRNP3,ENSDARG00000079741
CT027609.1,ENSDARG00000105058
CT027745.1,ENSDARG00000112623
CT573263.1,ENSDARG00000112940
CT573494.3,ENSDARG00000113336
CT737127.1,ENSDARG00000112061
CT737190.1,ENSDARG00000091514
CT990561.2,ENSDARG00000104560
ctcf,ENSDARG00000056621
ctcf,ENSDARG00000113285
cth1,ENSDARG00000057328
CU182823.4,ENSDARG00000114793
CU207221.2,ENSDARG00000099890
CU207245.1,ENSDARG00000113016
CU210890.1,ENSDARG00000110710
CU457778.2,ENSDARG00000109381
CU467646.5,ENSDARG00000099945
CU467646.7,ENSDARG00000104678
CU469530.2,ENSDARG00000114805
