gene_symbol,reference_gene_id
Dlx4,ENSRNOG00000004399
Dlx5,ENSRNOG00000010905
Dlx6,ENSRNOG00000063630
Dmbx1,ENSRNOG00000010835
Dmrt1,ENSRNOG00000016075
Dmrt2,ENSRNOG00000016301
Dmrt3,ENSRNOG00000016284
Dmrta1,ENSRNOG00000024093
Dmrta2,ENSRNOG00000068045
Dmrtb1,ENSRNOG00000023213
Dmrtc2,ENSRNOG00000020109
Dmtf1,ENSRNOG00000005908
Dnajc1,ENSRNOG00000000150
Dnajc2,ENSRNOG00000012392
Drgx,ENSRNOG00000020045
Dux4,ENSRNOG00000025408
E2f2,ENSRNOG00000047741
E2f3,ENSRNOG00000029273
E2f4,ENSRNOG00000015708
E2f5,ENSRNOG00000010760
E2f6,ENSRNOG00000004449
E2f7,ENSRNOG00000026252
E2f8,ENSRNOG00000022537
E4f1,ENSRNOG00000009224
Ebf1,ENSRNOG00000028845
Ebf2,ENSRNOG00000011548
Ebf3,ENSRNOG00000016102
Ebf4,ENSRNOG00000007408
Egr1,ENSRNOG00000019422
Egr2,ENSRNOG00000000640
Egr3,ENSRNOG00000017828
Egr4,ENSRNOG00000015719
Ehf,ENSRNOG00000007484
Elf1,ENSRNOG00000011762
Elf2,ENSRNOG00000010815
Elf3,ENSRNOG00000006330
Elf4,ENSRNOG00000005352
Elf5,ENSRNOG00000008282
Elk1,ENSRNOG00000010171
Elk3,ENSRNOG00000004367
Elk4,ENSRNOG00000007887
Emx1,ENSRNOG00000015493
Emx2,ENSRNOG00000009482
En1,ENSRNOG00000056580
En2,ENSRNOG00000006846
Eomes,ENSRNOG00000042140
Epas1,ENSRNOG00000021318
Erf,ENSRNOG00000020426
Erfl,ENSRNOG00000068986
Erg,ENSRNOG00000001652
Esr1,ENSRNOG00000019358
Esr2,ENSRNOG00000005343
Esrra,ENSRNOG00000021139
Esrrb,ENSRNOG00000010259
Esrrg,ENSRNOG00000002593
Ets1,ENSRNOG00000008941
Ets2,ENSRNOG00000001647
Etv1,ENSRNOG00000006867
Etv2,ENSRNOG00000024288
Etv3,ENSRNOG00000043095
Etv3l,ENSRNOG00000043511
Etv4,ENSRNOG00000020792
Etv5,ENSRNOG00000001785
Etv6,ENSRNOG00000005984
Evx1,ENSRNOG00000046734
Evx2,ENSRNOG00000001589
Fam170a,ENSRNOG00000015834
Ferd3l,ENSRNOG00000011091
Fev,ENSRNOG00000017856
Fezf1,ENSRNOG00000007608
Fezf2,ENSRNOG00000009206
Figla,ENSRNOG00000015877
Fiz1,ENSRNOG00000016574
Fli1,ENSRNOG00000008904
Fos,ENSRNOG00000008015
Fosb,ENSRNOG00000046667
Fosl1,ENSRNOG00000020552
Fosl2,ENSRNOG00000068412
Foxa1,ENSRNOG00000009284
Foxa2,ENSRNOG00000013133
Foxa3,ENSRNOG00000014256
Foxb2,ENSRNOG00000032137
Foxc1,ENSRNOG00000070919
Foxc2,ENSRNOG00000047446
Foxd1,ENSRNOG00000043332
Foxd2,ENSRNOG00000007759
Foxd3,ENSRNOG00000066522
Foxe1,ENSRNOG00000023497
Foxe3,ENSRNOG00000007770
Foxf1,ENSRNOG00000049906
Foxf2,ENSRNOG00000063796
Foxg1,ENSRNOG00000047891
Foxh1,ENSRNOG00000015371
Foxi1,ENSRNOG00000006293
Foxi2,ENSRNOG00000018917
Foxi3,ENSRNOG00000006491
Foxj2,ENSRNOG00000009000
Foxj3,ENSRNOG00000061851
Foxk1,ENSRNOG00000001104
Foxk2,ENSRNOG00000036663
